,component,num_of_addrs
1770,1770,3
1771,1771,2
1772,1772,24
1773,1773,3
1774,1774,2
1775,1775,2
1776,1776,7
1777,1777,2
1778,1778,3
1779,1779,2
1780,1780,24
1781,1781,2
1782,1782,2
1783,1783,5
1784,1784,10
1785,1785,4
1786,1786,5
1787,1787,2
1788,1788,2
1789,1789,2
1790,1790,2
1791,1791,4
1792,1792,3
1793,1793,4
1794,1794,3
1795,1795,2
1796,1796,3
1797,1797,4
1798,1798,3
1799,1799,10
1800,1800,4
1801,1801,2
1802,1802,8
1803,1803,6
1804,1804,4
1805,1805,7
1806,1806,3
1807,1807,3
1808,1808,2
1809,1809,2
1810,1810,19
1811,1811,3
1812,1812,2
1813,1813,2
1814,1814,4
1815,1815,2
1816,1816,2
1817,1817,3
1818,1818,2
1819,1819,2
1820,1820,4
1821,1821,3
1822,1822,7
1823,1823,2
1824,1824,3
1825,1825,7
1826,1826,3
1827,1827,2
1828,1828,2
1829,1829,17
1830,1830,16
1831,1831,13
1832,1832,2
1833,1833,2
1834,1834,2
1835,1835,9
1836,1836,2
1837,1837,2
1838,1838,2
1839,1839,9
1840,1840,3
1841,1841,2
1842,1842,5
1843,1843,4
1844,1844,20
1845,1845,6
1846,1846,2
1847,1847,2
1848,1848,2
1849,1849,2
1850,1850,2
1851,1851,2
1852,1852,2
1853,1853,2
1854,1854,4
1855,1855,2
1856,1856,3
1857,1857,26
1858,1858,2
1859,1859,3
1860,1860,3
1861,1861,2
1862,1862,3
1863,1863,8
1864,1864,43
1865,1865,3
1866,1866,11
1867,1867,5
1868,1868,2
1869,1869,2
1870,1870,5
1871,1871,4
1872,1872,5
1873,1873,2
1874,1874,2
1875,1875,8
1876,1876,6
1877,1877,2
1878,1878,2
1879,1879,3
1880,1880,2
1881,1881,2
1882,1882,2
1883,1883,3
1884,1884,5
1885,1885,2
1886,1886,3
1887,1887,3
1888,1888,3
1889,1889,3
1890,1890,10
1891,1891,4
1892,1892,7
1893,1893,5
1894,1894,4
1895,1895,3
1896,1896,2
1897,1897,2
1898,1898,9
1899,1899,2
1900,1900,22
1901,1901,6
1902,1902,2
1903,1903,2
1904,1904,3
1905,1905,5
1906,1906,12
1907,1907,2
1908,1908,3
1909,1909,5
1910,1910,3
1911,1911,4
1912,1912,12
1913,1913,2
1914,1914,2
1915,1915,7
1916,1916,20
1917,1917,2
1918,1918,2
1919,1919,7
1920,1920,3
1921,1921,3
1922,1922,3
1923,1923,3
1924,1924,2
1925,1925,2
1926,1926,2
1927,1927,9
1928,1928,3
1929,1929,2
1930,1930,12
1931,1931,6
1932,1932,14
1933,1933,6
1934,1934,5
1935,1935,5
1936,1936,4
1937,1937,3
1938,1938,14
1939,1939,8
1940,1940,3
1941,1941,2
1942,1942,5
1943,1943,7
1944,1944,29
1945,1945,2
1946,1946,4
1947,1947,3
1948,1948,3
1949,1949,8
1950,1950,34
1951,1951,3
1952,1952,5
1953,1953,16
1954,1954,2
1955,1955,7
1956,1956,10
1957,1957,3
1958,1958,2
1959,1959,2
1960,1960,4
1961,1961,2
1962,1962,3
1963,1963,18
1964,1964,8
1965,1965,3
1966,1966,10
1967,1967,2
1968,1968,3
1969,1969,5
1970,1970,2
1971,1971,19
1972,1972,4
1973,1973,2
1974,1974,3
1975,1975,2
1976,1976,3
1977,1977,4
1978,1978,2
1979,1979,9
1980,1980,2
1981,1981,2
1982,1982,2
1983,1983,2
1984,1984,3
1985,1985,6
1986,1986,3
1987,1987,5
1988,1988,2
